host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,year,month
within a few hours,100%,f,1,-22.96984095,-43.18324279,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom""}",,$271.00 ,$400.00 ,$150.00 ,1,$0.00 ,3,90,98,10,10,10,10,10,10,f,f,strict,2018,4
,,f,5,-22.96218437,-43.17410055,Apartment,Entire home/apt,3,0,1,1,Real Bed,{},,$249.00 ,$600.00 ,$118.00 ,1,$0.00 ,5,0,,,,,,,,f,f,strict,2018,4
,,f,1,-22.93720121,-43.19450875,Dorm,Private room,2,1,1,1,Real Bed,"{TV,""Air conditioning""}",,$301.00 ,$200.00 ,$100.00 ,1,$0.00 ,2,0,,,,,,,,f,f,moderate,2018,4
a few days or more,0%,f,1,-22.93458151,-43.1778157,Apartment,Private room,1,2,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer}",807,$137.00 ,,$102.00 ,1,$34.00 ,1,1,100,10,10,10,10,10,10,f,f,strict,2018,4
within an hour,100%,t,6,-22.98101488,-43.22584862,Apartment,Entire home/apt,4,1,1,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Host greets you""}",,$164.00 ,$250.00 ,$150.00 ,3,$0.00 ,4,133,95,10,10,10,10,10,9,t,f,strict,2018,4
,,f,1,-22.96735245,-43.18422943,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",452,$307.00 ,,$167.00 ,2,$178.00 ,2,34,99,10,10,10,10,10,10,f,f,strict,2018,4
,,f,1,-22.95415497,-43.19434644,Apartment,Shared room,2,2,1,2,Real Bed,"{Wifi,Doorman,Elevator,""Buzzer/wireless intercom"",Shampoo,""24-hour check-in"",Hangers,""Laptop friendly workspace""}",,$89.00 ,,$50.00 ,2,$80.00 ,1,1,80,10,6,8,8,10,8,f,f,flexible,2018,4
within an hour,100%,t,3,-22.98053592,-43.20027872,Apartment,Entire home/apt,8,2,2,8,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Baby bath"",Crib,""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",Waterfront,Beachfront,""Paid parking on premises""}",,$348.00 ,$842.00 ,$253.00 ,1,$0.00 ,2,109,95,10,10,10,10,10,9,t,f,strict,2018,4
within a few hours,100%,t,3,-22.96484017,-43.17288296,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$102.00 ,$400.00 ,$160.00 ,2,$21.00 ,3,31,95,10,10,10,10,10,9,f,f,strict,2018,4
a few days or more,0%,f,5,-22.96029179,-43.20141926,Dorm,Private room,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron}",915,$102.00 ,,$100.00 ,2,$50.00 ,1,3,87,9,9,9,9,9,9,f,f,strict,2018,4
a few days or more,0%,f,2,-23.01124413,-43.37254047,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Baby bath"",Crib}",,$294.00 ,$500.00 ,$30.00 ,4,$75.00 ,3,50,98,10,10,10,10,10,9,f,f,moderate,2018,4
within a day,100%,f,1,-22.91585006,-43.17898059,House,Private room,3,1,1,2,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",""First aid kit"",Essentials,Microwave,Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed""}",,$151.00 ,,$50.00 ,1,$80.00 ,2,31,88,9,9,10,10,9,9,f,f,strict,2018,4
,,f,2,-22.84048955,-43.31370207,Apartment,Private room,2,1,1,1,Real Bed,"{Wifi,Breakfast}",,$223.00 ,,,1,$223.00 ,1,0,,,,,,,,f,f,flexible,2018,4
within an hour,100%,f,8,-22.96652891,-43.1805717,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,Washer}",,$150.00 ,$400.00 ,$60.00 ,2,$100.00 ,3,67,85,9,8,9,9,9,8,f,f,strict,2018,4
within a few hours,100%,f,2,-22.98270131,-43.19101978,Apartment,Entire home/apt,6,2,3,4,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",Essentials,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Window guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Accessible-height toilet"",Beachfront}",,$563.00 ,"$1,025.00 ",$188.00 ,1,$0.00 ,2,182,97,10,9,10,10,10,9,t,f,strict,2018,4
within an hour,100%,t,3,-22.98193505,-43.18916102,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron}",,$201.00 ,$599.00 ,$180.00 ,2,$29.00 ,3,130,92,9,9,9,10,10,9,t,f,strict,2018,4
within a day,100%,f,3,-22.97620621,-43.197112,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49""}",,$495.00 ,"$14,105.00 ",$0.00 ,2,$128.00 ,180,8,97,10,10,10,10,10,9,f,f,flexible,2018,4
within an hour,100%,f,21,-22.98109838,-43.20766538,Guest suite,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Paid parking on premises""}",,$130.00 ,$0.00 ,$100.00 ,1,$0.00 ,2,12,96,9,9,10,10,10,9,t,f,strict,2018,4
within an hour,100%,f,1,-22.97257789,-43.18969012,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}",0,$181.00 ,$561.00 ,$150.00 ,4,$300.00 ,3,21,93,9,9,10,10,10,9,f,f,strict,2018,4
,,f,1,-22.98163318,-43.19178299,Apartment,Private room,2,3,1,1,Futon,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Pets live on this property"",""Other pet(s)"",Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Suitable for events"",Washer}",0,$499.00 ,,,1,$0.00 ,1,2,99,10,10,10,10,10,9,f,f,flexible,2018,4
,,f,1,-22.9358732,-43.17814704,Apartment,Private room,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer}",,$683.00 ,,,1,$0.00 ,1,0,,,,,,,,f,f,flexible,2018,4
within an hour,90%,t,3,-22.9828921,-43.19099126,Apartment,Entire home/apt,4,1,1,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom""}",,$304.00 ,$854.00 ,$171.00 ,2,$85.00 ,5,80,96,10,10,10,10,10,10,f,f,strict,2018,4
within an hour,100%,f,4,-22.98305765,-43.19209555,Apartment,Entire home/apt,6,2,3,3,Real Bed,"{TV,""Cable TV"",Internet,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$454.00 ,$500.00 ,$124.00 ,4,$52.00 ,2,5,90,10,9,10,10,10,9,f,f,strict,2018,4
within an hour,100%,f,4,-22.97819454,-43.19019831,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly""}",,$150.00 ,$400.00 ,$80.00 ,2,$30.00 ,2,19,86,9,9,9,10,9,8,f,f,strict,2018,4
within an hour,100%,f,4,-22.9851426,-43.19087758,Apartment,Entire home/apt,3,0,2,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly""}",,$150.00 ,$600.00 ,$85.00 ,2,$52.00 ,3,5,100,10,10,10,10,10,10,f,f,strict,2018,4
within a few hours,100%,t,7,-22.96317609,-43.17459764,Apartment,Entire home/apt,4,1,0,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Long term stays allowed"",""Wide hallway clearance"",""Well-lit path to entrance"",""Host greets you""}",,$161.00 ,$990.00 ,$100.00 ,2,$30.00 ,2,56,92,9,9,10,10,9,9,t,f,strict,2018,4
within an hour,100%,t,7,-22.97394513,-43.18935586,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Bed linens"",""Extra pillows and blankets""}",,$140.00 ,$500.00 ,$120.00 ,2,$30.00 ,3,115,95,10,9,10,10,10,9,f,f,strict,2018,4
within an hour,100%,f,2,-22.95091695,-43.19874028,Apartment,Private room,2,1,1,1,Real Bed,"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",Essentials,""Lock on bedroom door"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",,$215.00 ,,$150.00 ,1,$75.00 ,3,10,98,10,10,10,10,10,10,f,f,strict,2018,4
within a day,100%,f,5,-22.98395087,-43.19835395,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$854.00 ,,,1,$0.00 ,5,1,86,8,6,10,10,10,6,f,f,moderate,2018,4
within a day,100%,f,5,-22.98392474,-43.19992726,Apartment,Private room,1,1,1,1,Real Bed,"{Wifi,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom""}",,$854.00 ,,$171.00 ,1,$0.00 ,1,0,,,,,,,,f,f,strict,2018,4
a few days or more,0%,f,5,-22.95995609,-43.20109241,Apartment,Entire home/apt,5,2,2,2,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron}",915,$700.00 ,$500.00 ,$200.00 ,7,$100.00 ,5,1,80,8,10,10,10,8,8,f,f,moderate,2018,4
within an hour,100%,t,3,-22.96641408,-43.18133099,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Elevator,""Free street parking"",""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""EV charger"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Step-free access"",""Wide entryway"",""Host greets you"",""Handheld shower head"",""Paid parking on premises""}",,$116.00 ,$400.00 ,$170.00 ,2,$30.00 ,3,164,96,10,10,10,10,10,10,t,f,strict_14_with_grace_period,2018,4
,,f,1,-22.96380678,-43.17557403,Apartment,Private room,2,0.5,1,1,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",,$120.00 ,,$40.00 ,2,$60.00 ,1,1,86,8,6,10,10,8,8,f,f,strict,2018,4
within a day,86%,f,2,-23.01420193,-43.30491401,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer}",1615,$799.00 ,"$1,000.00 ",$200.00 ,1,$0.00 ,2,3,100,10,10,10,10,10,9,f,f,strict,2018,4
within a day,86%,f,2,-23.0150251,-43.30016202,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Iron,""Laptop friendly workspace""}",1615,$799.00 ,"$1,000.00 ",$200.00 ,1,$0.00 ,2,26,100,10,10,10,10,10,9,f,f,strict,2018,4
within an hour,100%,t,6,-22.9752284,-43.18877583,Apartment,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly""}",,$150.00 ,,$169.00 ,4,$100.00 ,2,184,96,10,9,10,10,10,9,f,f,strict,2018,4
within an hour,100%,t,6,-22.97604342,-43.1867328,Apartment,Entire home/apt,6,1.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials,""Hair dryer"",""Pack ’n Play/travel crib"",""Hot water"",Other,""Paid parking on premises""}",,$240.00 ,,$189.00 ,6,$100.00 ,2,185,97,10,10,10,10,10,10,f,f,strict,2018,4
within a day,80%,f,2,-22.92210077,-43.17418617,Apartment,Entire home/apt,8,2,5,5,Real Bed,"{Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}",,$99.00 ,,,1,$20.00 ,5,1,100,10,10,10,10,10,8,f,f,flexible,2018,4
within a day,80%,f,2,-22.92039435,-43.18157233,House,Entire home/apt,10,4,5,10,Real Bed,"{Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",""Suitable for events"",Washer,""Fire extinguisher""}",0,$167.00 ,,,1,$0.00 ,3,3,100,10,10,10,10,10,10,f,f,strict,2018,4
within a day,100%,f,1,-22.9877509,-43.19350174,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Dryer}",,$386.00 ,"$1,000.00 ",$100.00 ,2,$100.00 ,5,20,93,9,9,9,9,10,8,f,f,strict,2018,4
within a few hours,100%,t,3,-23.0094509,-43.35590718,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",Gym,Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}",,$229.00 ,$500.00 ,$100.00 ,1,$0.00 ,7,2,100,10,10,10,10,10,10,f,f,moderate,2018,4
within a few hours,100%,t,2,-22.98652287,-43.19532078,Apartment,Entire home/apt,3,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Essentials,Hangers,""Hair dryer"",Iron,Crib,""Hot water"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",,$250.00 ,"$2,000.00 ",$190.00 ,3,$180.00 ,3,99,98,10,10,10,10,10,10,f,f,strict,2018,4
within an hour,100%,f,2,-22.97515223,-43.19180152,Apartment,Entire home/apt,4,1,1,2,Pull-out Sofa,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$171.00 ,$330.00 ,$170.00 ,4,$260.00 ,4,101,92,10,9,10,9,10,9,t,f,strict,2018,4
a few days or more,0%,f,1,-22.97582165,-43.19709941,Apartment,Entire home/apt,5,3,2,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Elevator,""Hot tub"",""Family/kid friendly"",Washer,Shampoo}",2465,"$1,000.00 ",,,1,$0.00 ,4,1,100,8,8,10,10,10,8,f,f,strict,2018,4
within a few hours,100%,t,2,-22.98483898,-43.19613207,Apartment,Entire home/apt,4,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,Crib,""Room-darkening shades"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",,$250.00 ,$500.00 ,$180.00 ,4,$180.00 ,3,159,98,10,10,10,10,10,9,f,f,strict,2018,4
within a day,50%,f,1,-22.95337426,-43.1680003,Apartment,Private room,2,1.5,1,1,Real Bed,"{Internet,Wifi,Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Pocket wifi"",Other}",,$75.00 ,$342.00 ,$137.00 ,1,$34.00 ,7,10,93,10,10,10,10,10,10,f,f,strict,2018,4
,,f,1,-22.96581578,-43.19117741,Apartment,Entire home/apt,4,1,1,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer""}",452,$208.00 ,,,2,$20.00 ,1,2,90,10,10,10,10,10,9,f,f,flexible,2018,4
within an hour,100%,f,5,-22.98609725,-43.19014186,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Wide clearance to bed"",""Host greets you"",Waterfront}",2153,$758.00 ,"$2,105.00 ",$547.00 ,1,$0.00 ,3,29,93,10,9,10,10,10,9,t,f,strict,2018,4
within a day,100%,t,1,-22.91338808,-43.17586205,Apartment,Entire home/apt,4,1,1,1,Real Bed,"{TV,Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$79.00 ,$500.00 ,$0.00 ,2,$60.00 ,3,44,93,10,9,10,10,9,9,f,f,moderate,2018,4
within a few hours,100%,f,1,-22.98223669,-43.19419942,Apartment,Entire home/apt,6,1,1,6,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed""}",753,$229.00 ,$600.00 ,$170.00 ,4,$0.00 ,7,10,87,9,9,9,9,8,9,t,f,strict,2018,4
within a few hours,97%,f,50,-22.98176138,-43.22190014,Apartment,Entire home/apt,10,2.5,3,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Host greets you""}",0,$201.00 ,$900.00 ,$160.00 ,2,$50.00 ,2,83,93,10,9,10,10,10,9,t,f,strict,2018,4
,,f,1,-22.93308573,-43.1762767,Apartment,Entire home/apt,2,1,1,2,Pull-out Sofa,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials}",,$514.00 ,,$137.00 ,1,$68.00 ,1,1,80,,,,,,,f,f,strict,2018,4
,,f,1,-23.01365299,-43.30869977,Apartment,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",Washer,""Lock on bedroom door""}",,"$1,301.00 ",,,1,$0.00 ,1,0,,,,,,,,t,f,flexible,2018,4
,,f,1,-22.92041455,-43.1903826,Apartment,Entire home/apt,7,1,3,6,Real Bed,"{Internet,Wifi,Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Host greets you""}",,$338.00 ,$421.00 ,$126.00 ,4,$84.00 ,1,3,100,10,10,10,10,10,10,t,f,moderate,2018,4
within an hour,100%,t,6,-22.98131917,-43.19045558,Apartment,Entire home/apt,5,1.5,2,5,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Essentials,""24-hour check-in""}",,$301.00 ,$200.00 ,$150.00 ,5,$0.00 ,2,68,87,9,9,9,9,9,9,f,f,strict,2018,4
within a few hours,100%,f,4,-22.96769043,-43.18396691,Apartment,Entire home/apt,6,1,2,4,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Iron,""Self check-in"",""Front desk/doorperson"",""Children’s books and toys"",""Hot water"",""Long term stays allowed""}",0,$171.00 ,$311.00 ,$152.00 ,5,$50.00 ,1,130,86,8,8,10,10,10,8,f,f,strict,2018,4
,,f,1,-22.96873593,-43.1860962,Apartment,Entire home/apt,4,1,0,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Family/kid friendly"",Washer}",,$96.00 ,,$114.00 ,1,$0.00 ,2,101,91,9,9,10,10,9,9,f,f,strict,2018,4
